date,symbol,mkt_part,real_part,indiv_part
1999-01-04,AAPL,0.3356564352813157,0.7444017627150546,0.4087453274337389
1999-01-05,AAPL,1.4693502988347276,4.980995449303873,3.5116451504691457
1999-01-06,AAPL,3.433936953081445,-3.6265204431725295,-7.060457396253975
1999-01-07,AAPL,1.540506425259768,7.765423024824849,6.224916599565081
1999-01-08,AAPL,0.853681457776718,-0.019,-0.872681457776718
1999-01-11,AAPL,1.78814290983073,1.9254513350992843,0.13730842526855436
1999-01-12,AAPL,-1.9291187812185644,0.525987522410012,2.4551063036285763
1999-01-13,AAPL,-0.4511075043299173,0.7939797191887666,1.2450872235186838
1999-01-14,AAPL,-0.504772592078556,-11.04050908046109,-10.535736488382534
1999-01-15,AAPL,2.8082906417695574,-0.17004410622195362,-2.978334747991511
1999-01-19,AAPL,2.5812632561646542,-1.0779929797496066,-3.6592562359142606
1999-01-20,AAPL,1.1176631557332781,-0.7835197676320326,-1.9011829233653108
1999-01-21,AAPL,-2.591466334432889,-4.333337524786627,-1.7418711903537378
1999-01-22,AAPL,-0.12673990833683257,-0.18002928739110122,-0.05328937905426864
1999-01-25,AAPL,1.2382673936689503,1.5939030174499182,0.3556356237809679
1999-01-26,AAPL,2.7406063928012845,2.838151393052226,0.0975450002509417
1999-01-27,AAPL,0.5617170687299573,-0.9449430352527631,-1.5066601039827203
1999-01-28,AAPL,2.8978642424455496,1.8501687888933385,-1.0476954535522112
1999-01-29,AAPL,1.6798089059865702,0.7455381374154159,-0.9342707685711543
1999-02-01,AAPL,0.770559932685789,-0.6260299479977837,-1.3965898806835728
1999-02-02,AAPL,-0.7211366193422494,-4.2937881956442965,-3.572651576302047
1999-02-03,AAPL,2.1133844815227874,2.5328329185865384,0.419448437063751
1999-02-04,AAPL,-3.7437684200778585,-5.773255867147973,-2.0294874470701143
1999-02-05,AAPL,-1.7475446643214525,-4.144418386194002,-2.3968737218725495
1999-02-08,AAPL,0.5480636829778074,3.9396734985407322,3.3916098155629246
1999-02-09,AAPL,-4.2537787033591234,-1.5090742603863314,2.7447044429727923
1999-02-10,AAPL,0.9438600541886468,3.006260296535248,2.0624002423466012
1999-02-11,AAPL,5.51181719070129,3.4067527641458284,-2.1050644265554617
1999-02-12,AAPL,-2.8656005209581212,-4.908606911885835,-2.043006390927714
1999-02-16,AAPL,0.8987549196807447,1.6394147056844635,0.7406597860037187
1999-02-17,AAPL,-2.861540168261573,-3.4448115594265727,-0.5832713911649998
1999-02-18,AAPL,-0.31323643113938715,-2.7217014229230374,-2.4084649917836503
1999-02-19,AAPL,1.288684619108371,3.2795986425612345,1.9909140234528635
1999-02-22,AAPL,3.216772128605858,3.3423382598384643,0.12556613123260618
1999-02-23,AAPL,1.7706392953187247,-0.019,-1.7896392953187246
1999-02-24,AAPL,-1.3309459376303625,-2.6206187105989076,-1.289672772968545
1999-02-25,AAPL,-0.7296756093724905,-1.3545554148629433,-0.6248798054904527
1999-02-26,AAPL,-1.2773289569809112,-5.771942577905995,-4.494613620925084
1999-03-01,AAPL,0.29952092364021177,-3.0700542154122252,-3.369575139052437
1999-03-02,AAPL,-1.6897696951700831,2.5745860830374294,4.264355778207513
1999-03-03,AAPL,-0.05444499173637779,-1.2815348137822522,-1.2270898220458744
1999-03-04,AAPL,1.2845999862581419,-2.211795573973356,-3.496395560231498
1999-03-05,AAPL,2.251882773386678,-0.7656874482628349,-3.017570221649513
1999-03-08,AAPL,2.6066315602590606,3.5601640692609697,0.9535325090019091
1999-03-09,AAPL,0.5379540955446555,-0.745266955333783,-1.2832210508784385
1999-03-10,AAPL,0.7187016937203161,-4.596717973636292,-5.3154196673566085
1999-03-11,AAPL,0.42985506726513184,-1.1696679477325154,-1.5995230149976472
1999-03-12,AAPL,-1.4862553895919113,3.0887790094188476,4.575034399010759
1999-03-15,AAPL,1.519809812208777,2.618566952281361,1.0987571400725837
1999-03-16,AAPL,0.6161599422169388,4.202193153126251,3.586033210909312
1999-03-17,AAPL,-0.6337035770601126,-4.067304674503629,-3.4336010974435163
1999-03-18,AAPL,1.6265769077878303,4.202193153126251,2.5756162453384204
1999-03-19,AAPL,-2.106891334458062,-5.651819797379303,-3.5449284629212405
1999-03-22,AAPL,-1.493749686428152,4.64618629699108,6.139935983419232
1999-03-23,AAPL,-3.646058559115175,-5.900347902343121,-2.254289343227946
1999-03-24,AAPL,1.3284476596795178,2.0653238527164124,0.7368761930368946
1999-03-25,AAPL,2.945660844290188,0.35305450894900914,-2.592606335341179
1999-03-26,AAPL,-0.05666678361705675,-1.6815947361174686,-1.6249279525004119
1999-03-29,AAPL,3.822530731556708,6.372994196472066,2.5504634649153584
1999-03-30,AAPL,-0.203361877373535,1.3954019107946427,1.5987637881681778
1999-03-31,AAPL,-0.36532384348986674,0.1562216310959499,0.5215454745858166
1999-04-01,AAPL,0.743257263566899,0.3298511835443898,-0.4134060800225092
1999-04-05,AAPL,2.867334858909758,2.754954775986336,-0.11238008292342183
1999-04-06,AAPL,-0.014680292647063331,2.5114837094979263,2.5261640021449896
1999-04-07,AAPL,0.8711856812901626,-2.3206267040439306,-3.191812385334093
1999-04-08,AAPL,2.0818414116276136,-0.6913818781517354,-2.7732232897793487
1999-04-09,AAPL,0.6678222305252406,-0.35698031284715914,-1.0248025433723997
1999-04-12,AAPL,0.05547439908492935,-1.378574054453334,-1.4340484535382634
1999-04-13,AAPL,-0.5096216421221582,-4.500723645789665,-3.991102003667507
1999-04-14,AAPL,-5.222928082929446,2.5991734128126014,7.822101495742047
